Oct 28, 2017 6:46:41 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,TeamStrikers*,7998 (11%),4400,0,2842,157,380,219,0,0,3
2nd,TransCoders*,7413 (10%),5000,700,1491,151,61,10,5,1,0
3rd,SabraRonins*,7290 (10%),5100,280,1719,103,72,16,2,1,2
4th,Scorpion*,5942 (8%),4550,140,956,29,250,18,1,2,0
5th,Insight*,5034 (7%),4250,140,568,3,62,10,1,2,1
6th,Dead_lock*,5033 (7%),3400,0,1324,44,254,11,0,1,0
7th,Pentacode*,5010 (7%),3850,140,960,40,20,0,1,2,1
8th,Dalek*,4273 (6%),3250,0,954,26,43,0,0,0,0
9th,PeraXbot*,4088 (6%),3100,0,854,1,112,21,0,0,0
10th,WSAD*,4052 (6%),3300,0,686,5,61,0,0,0,3
11th,NETCLOUD*,3909 (6%),3400,0,475,10,24,0,0,1,0
12th,CtrlAltDel*,2807 (4%),2550,0,198,6,48,5,0,0,0
13th,HashSteel*,2779 (4%),2400,0,292,1,85,1,0,0,0
14th,RuhSeekers*,2722 (4%),2000,0,679,9,34,0,0,0,0
15th,Void*,2468 (3%),1950,0,96,0,422,0,0,0,0
$
